gameid,team_name,match_date,result,gold_at10,xp_at10,cs_at10,gold_diff_at10,xp_diff_at10,cs_diff_at10,kills_at_10,assists_at10,deaths_at10
ESPORTSTMNT03/1241318,SANDBOX Gaming,2020-01-03 07:33:26,1,14615.0,17845.0,330.0,117.0,-137.0,8.0,0.0,0.0,0.0
ESPORTSTMNT03/1241318,T1,2020-01-03 07:33:26,0,14498.0,17982.0,322.0,-117.0,137.0,-8.0,0.0,0.0,0.0
ESPORTSTMNT03/1241322,T1,2020-01-03 09:00:58,0,14180.0,16947.0,300.0,-2014.0,-2149.0,-34.0,0.0,0.0,3.0
ESPORTSTMNT03/1241322,SANDBOX Gaming,2020-01-03 09:00:58,1,16194.0,19096.0,334.0,2014.0,2149.0,34.0,3.0,3.0,0.0
ESPORTSTMNT03/1241324,T1,2020-01-03 10:05:17,1,15531.0,19034.0,365.0,682.0,615.0,25.0,0.0,0.0,0.0
ESPORTSTMNT03/1241324,SANDBOX Gaming,2020-01-03 10:05:17,0,14849.0,18419.0,340.0,-682.0,-615.0,-25.0,0.0,0.0,0.0
ESPORTSTMNT03/1241328,T1,2020-01-03 10:57:28,0,14313.0,16950.0,308.0,-1579.0,-858.0,-21.0,0.0,0.0,2.0
ESPORTSTMNT03/1241328,SANDBOX Gaming,2020-01-03 10:57:28,1,15892.0,17808.0,329.0,1579.0,858.0,21.0,2.0,4.0,0.0
ESPORTSTMNT03/1241386,DRX,2020-01-04 05:33:33,0,15388.0,18396.0,337.0,-747.0,-313.0,12.0,0.0,0.0,3.0
ESPORTSTMNT03/1241386,Afreeca Freecs,2020-01-04 05:33:33,1,16135.0,18709.0,325.0,747.0,313.0,-12.0,3.0,7.0,0.0
ESPORTSTMNT03/1241394,Afreeca Freecs,2020-01-04 06:55:30,1,15415.0,18771.0,336.0,-95.0,-686.0,-11.0,1.0,1.0,1.0
ESPORTSTMNT03/1241394,DRX,2020-01-04 06:55:30,0,15510.0,19457.0,347.0,95.0,686.0,11.0,1.0,1.0,1.0
ESPORTSTMNT03/1241396,Afreeca Freecs,2020-01-04 07:43:09,1,15771.0,17958.0,306.0,577.0,183.0,-39.0,3.0,5.0,0.0
ESPORTSTMNT03/1241396,DRX,2020-01-04 07:43:09,0,15194.0,17775.0,345.0,-577.0,-183.0,39.0,0.0,0.0,3.0
ESPORTSTMNT03/1241467,SANDBOX Gaming,2020-01-05 05:57:53,0,14552.0,16591.0,296.0,-2927.0,-2511.0,-21.0,1.0,2.0,6.0
ESPORTSTMNT03/1241467,Afreeca Freecs,2020-01-05 05:57:53,1,17479.0,19102.0,317.0,2927.0,2511.0,21.0,6.0,14.0,1.0
ESPORTSTMNT03/1241468,Afreeca Freecs,2020-01-05 06:49:07,1,14778.0,18360.0,333.0,-300.0,-493.0,-11.0,0.0,0.0,0.0
ESPORTSTMNT03/1241468,SANDBOX Gaming,2020-01-05 06:49:07,0,15078.0,18853.0,344.0,300.0,493.0,11.0,0.0,0.0,0.0
ESPORTSTMNT03/1241474,SANDBOX Gaming,2020-01-05 07:44:19,0,15743.0,18677.0,322.0,760.0,348.0,28.0,3.0,4.0,2.0
ESPORTSTMNT03/1241474,Afreeca Freecs,2020-01-05 07:44:19,1,14983.0,18329.0,294.0,-760.0,-348.0,-28.0,2.0,2.0,3.0
5655-7249,Invictus Gaming,2020-01-13 09:22:00,1,14522.0,17203.0,311.0,-833.0,-304.0,5.0,0.0,0.0,2.0
5655-7249,FunPlus Phoenix,2020-01-13 09:22:00,0,15355.0,17507.0,306.0,833.0,304.0,-5.0,2.0,3.0,0.0
5655-7250,Invictus Gaming,2020-01-13 10:37:00,0,14994.0,18414.0,317.0,-601.0,-606.0,21.0,1.0,1.0,3.0
5655-7250,FunPlus Phoenix,2020-01-13 10:37:00,1,15595.0,19020.0,296.0,601.0,606.0,-21.0,3.0,4.0,1.0
5656-7252,LGD Gaming,2020-01-13 11:26:00,1,15412.0,18525.0,306.0,752.0,767.0,1.0,2.0,2.0,1.0
5656-7252,LNG Esports,2020-01-13 11:26:00,0,14660.0,17758.0,305.0,-752.0,-767.0,-1.0,1.0,2.0,2.0
