gameid,team_name,match_date,result,gold_at15,xp_at15,cs_at15,gold_diff_at15,xp_diff_at15,cs_diff_at15,kills_at_15,assists_at15,deaths_at15
5658-7257,Oh My God,2020-01-14 11:21:00,0,24234.0,29110.0,537.0,300.0,-730.0,-6.0,3.0,4.0,3.0
5658-7257,JD Gaming,2020-01-14 11:21:00,1,23934.0,29840.0,543.0,-300.0,730.0,6.0,3.0,6.0,3.0
5658-7258,Oh My God,2020-01-14 12:13:00,0,24269.0,28741.0,543.0,-213.0,-2415.0,21.0,3.0,5.0,5.0
5658-7258,JD Gaming,2020-01-14 12:13:00,1,24482.0,31156.0,522.0,213.0,2415.0,-21.0,5.0,11.0,3.0
5659-7259,Vici Gaming,2020-01-15 09:22:00,0,21709.0,25944.0,476.0,-5060.0,-4023.0,-50.0,0.0,0.0,5.0
5659-7259,Bilibili Gaming,2020-01-15 09:22:00,1,26769.0,29967.0,526.0,5060.0,4023.0,50.0,5.0,7.0,0.0
5659-7260,Bilibili Gaming,2020-01-15 10:16:00,0,25735.0,31215.0,532.0,937.0,1089.0,-20.0,5.0,9.0,1.0
5659-7260,Vici Gaming,2020-01-15 10:16:00,1,24798.0,30126.0,552.0,-937.0,-1089.0,20.0,1.0,3.0,5.0
5659-7261,Vici Gaming,2020-01-15 11:20:00,0,24705.0,29595.0,532.0,-1293.0,1059.0,38.0,4.0,8.0,6.0
5659-7261,Bilibili Gaming,2020-01-15 11:20:00,1,25998.0,28536.0,494.0,1293.0,-1059.0,-38.0,6.0,11.0,4.0
5660-7262,Invictus Gaming,2020-01-15 12:30:00,1,26333.0,31241.0,558.0,3779.0,2919.0,47.0,4.0,3.0,1.0
5660-7262,Dominus Esports,2020-01-15 12:30:00,0,22554.0,28322.0,511.0,-3779.0,-2919.0,-47.0,1.0,1.0,4.0
5660-7263,Dominus Esports,2020-01-15 13:19:00,0,24299.0,28942.0,499.0,-1739.0,532.0,5.0,3.0,6.0,2.0
5660-7263,Invictus Gaming,2020-01-15 13:19:00,1,26038.0,28410.0,494.0,1739.0,-532.0,-5.0,2.0,3.0,3.0
5661-7265,Victory Five,2020-01-16 09:41:00,0,22086.0,26507.0,497.0,-3151.0,-3353.0,3.0,0.0,0.0,7.0
5661-7265,EDward Gaming,2020-01-16 09:41:00,1,25237.0,29860.0,494.0,3151.0,3353.0,-3.0,7.0,11.0,0.0
5661-7266,Victory Five,2020-01-16 10:33:00,0,23043.0,26726.0,479.0,-1387.0,-1292.0,2.0,1.0,1.0,6.0
5661-7266,EDward Gaming,2020-01-16 10:33:00,1,24430.0,28018.0,477.0,1387.0,1292.0,-2.0,6.0,8.0,1.0
