gameid,team_name,match_date,result,gold_at10,xp_at10,cs_at10,gold_diff_at10,xp_diff_at10,cs_diff_at10,kills_at_10,assists_at10,deaths_at10
ESPORTSTMNT03/1632489,DWG KIA,2021-01-02 07:40:39,1,16291.0,20459.0,382.0,1793.0,2365.0,65.0,1.0,0.0,0.0
ESPORTSTMNT03/1632489,Nongshim RedForce,2021-01-02 07:40:39,0,14498.0,18094.0,317.0,-1793.0,-2365.0,-65.0,0.0,0.0,1.0
ESPORTSTMNT03/1632500,Nongshim RedForce,2021-01-02 08:53:45,0,15623.0,19210.0,340.0,759.0,171.0,-8.0,1.0,3.0,0.0
ESPORTSTMNT03/1632500,DWG KIA,2021-01-02 08:53:45,1,14864.0,19039.0,348.0,-759.0,-171.0,8.0,0.0,0.0,1.0
ESPORTSTMNT03/1632502,Nongshim RedForce,2021-01-02 09:50:49,0,15043.0,16987.0,275.0,73.0,-1.0,-24.0,3.0,3.0,2.0
ESPORTSTMNT03/1632502,DWG KIA,2021-01-02 09:50:49,1,14970.0,16988.0,299.0,-73.0,1.0,24.0,2.0,4.0,3.0
6909-9183,Top Esports,2021-01-09 09:22:00,0,16177.0,19640.0,380.0,732.0,75.0,20.0,1.0,1.0,0.0
6909-9183,Suning,2021-01-09 09:22:00,1,15445.0,19565.0,360.0,-732.0,-75.0,-20.0,0.0,0.0,1.0
6909-9184,Top Esports,2021-01-09 10:16:00,0,16752.0,20020.0,361.0,1502.0,1164.0,40.0,2.0,2.0,1.0
6909-9184,Suning,2021-01-09 10:16:00,1,15250.0,18856.0,321.0,-1502.0,-1164.0,-40.0,1.0,1.0,2.0
6910-9189,Oh My God,2021-01-09 11:30:00,0,15842.0,18405.0,322.0,30.0,-307.0,-11.0,2.0,3.0,2.0
6910-9189,EDward Gaming,2021-01-09 11:30:00,1,15812.0,18712.0,333.0,-30.0,307.0,11.0,2.0,4.0,2.0
6910-9190,EDward Gaming,2021-01-09 12:23:00,0,15086.0,17844.0,323.0,-1303.0,-1383.0,-12.0,1.0,2.0,3.0
6910-9190,Oh My God,2021-01-09 12:23:00,1,16389.0,19227.0,335.0,1303.0,1383.0,12.0,3.0,7.0,1.0
