gameid,team_name,match_date,result,gold_at15,xp_at15,cs_at15,gold_diff_at15,xp_diff_at15,cs_diff_at15,kills_at_15,assists_at15,deaths_at15
ESPORTSTMNT03/1632489,DWG KIA,2021-01-02 07:40:39,1,28027.0,33329.0,576.0,5018.0,4255.0,86.0,8.0,13.0,3.0
ESPORTSTMNT03/1632489,Nongshim RedForce,2021-01-02 07:40:39,0,23009.0,29074.0,490.0,-5018.0,-4255.0,-86.0,3.0,4.0,8.0
ESPORTSTMNT03/1632500,Nongshim RedForce,2021-01-02 08:53:45,0,24592.0,29844.0,517.0,573.0,-1879.0,-49.0,3.0,9.0,2.0
ESPORTSTMNT03/1632500,DWG KIA,2021-01-02 08:53:45,1,24019.0,31723.0,566.0,-573.0,1879.0,49.0,2.0,5.0,3.0
ESPORTSTMNT03/1632502,Nongshim RedForce,2021-01-02 09:50:49,0,23373.0,27624.0,474.0,-579.0,-1643.0,-40.0,3.0,3.0,4.0
ESPORTSTMNT03/1632502,DWG KIA,2021-01-02 09:50:49,1,23952.0,29267.0,514.0,579.0,1643.0,40.0,4.0,8.0,3.0
6909-9183,Top Esports,2021-01-09 09:22:00,0,24815.0,31121.0,608.0,951.0,-107.0,18.0,1.0,1.0,0.0
6909-9183,Suning,2021-01-09 09:22:00,1,23864.0,31228.0,590.0,-951.0,107.0,-18.0,0.0,0.0,1.0
6909-9184,Top Esports,2021-01-09 10:16:00,0,27355.0,32158.0,560.0,2145.0,-420.0,44.0,5.0,6.0,6.0
6909-9184,Suning,2021-01-09 10:16:00,1,25210.0,32578.0,516.0,-2145.0,420.0,-44.0,6.0,9.0,5.0
6910-9189,Oh My God,2021-01-09 11:30:00,0,24131.0,29284.0,527.0,-457.0,-1218.0,-16.0,2.0,3.0,3.0
6910-9189,EDward Gaming,2021-01-09 11:30:00,1,24588.0,30502.0,543.0,457.0,1218.0,16.0,3.0,5.0,2.0
6910-9190,EDward Gaming,2021-01-09 12:23:00,0,23389.0,29977.0,535.0,-3065.0,-1461.0,-17.0,2.0,2.0,5.0
6910-9190,Oh My God,2021-01-09 12:23:00,1,26454.0,31438.0,552.0,3065.0,1461.0,17.0,5.0,11.0,2.0
